Date,Avg_Temp,Quality,均質番号
1872/1,,0,1
1872/2,,0,1
1872/3,,0,1
1872/4,,0,1
1872/5,,0,1
1872/6,,0,1
1872/7,,0,1
1872/8,,0,1
1872/9,,0,1
1872/10,,0,1
1872/11,,0,1
1872/12,,0,1
1873/1,,0,1
1873/2,,0,1
1873/3,,0,1
1873/4,,0,1
1873/5,,0,1
1873/6,,0,1
1873/7,,0,1
1873/8,,0,1
1873/9,,0,1
1873/10,,0,1
1873/11,,0,1
1873/12,,0,1
1874/1,,0,1
1874/2,,0,1
1874/3,,0,1
1874/4,,0,1
1874/5,,0,1
1874/6,,0,1
1874/7,,0,1
1874/8,,0,1
1874/9,,0,1
1874/10,,0,1
1874/11,,0,1
1874/12,,0,1
1875/1,,0,1
1875/2,,0,1
1875/3,,0,1
1875/4,,0,1
1875/5,,0,1
1875/6,,0,1
1875/7,,0,1
1875/8,,0,1
1875/9,,0,1
1875/10,,0,1
1875/11,,0,1
1875/12,,0,1
1876/1,,0,1
1876/2,,0,1
1876/3,,0,1
1876/4,,0,1
1876/5,,0,1
1876/6,,0,1
1876/7,,0,1
1876/8,,0,1
1876/9,,0,1
1876/10,,0,1
1876/11,,0,1
1876/12,,0,1
1877/1,,0,1
1877/2,,0,1
1877/3,,0,1
1877/4,,0,1
1877/5,,0,1
1877/6,,0,1
1877/7,,0,1
1877/8,,0,1
1877/9,,0,1
1877/10,,0,1
1877/11,,0,1
1877/12,,0,1
1878/1,,0,1
1878/2,,0,1
1878/3,,0,1
1878/4,,0,1
1878/5,,0,1
1878/6,,0,1
1878/7,,0,1
1878/8,,0,1
1878/9,,0,1
1878/10,,0,1
1878/11,,0,1
1878/12,,0,1
1879/1,,0,1
1879/2,,0,1
1879/3,,0,1
1879/4,,0,1
1879/5,,0,1
1879/6,,0,1
1879/7,,0,1
1879/8,,0,1
1879/9,,0,1
1879/10,,0,1
1879/11,,0,1
1879/12,,0,1
1880/1,,0,1
1880/2,,0,1
1880/3,,0,1
1880/4,,0,1
1880/5,,0,1
1880/6,,0,1
1880/7,,0,1
1880/8,,0,1
1880/9,,0,1
1880/10,,0,1
1880/11,,0,1
1880/12,,0,1
1881/1,,0,1
1881/2,,0,1
1881/3,,0,1
1881/4,,0,1
1881/5,,0,1
1881/6,,0,1
1881/7,,0,1
1881/8,,0,1
1881/9,,0,1
1881/10,,0,1
1881/11,,0,1
1881/12,,0,1
1882/1,,0,1
1882/2,,0,1
1882/3,,0,1
1882/4,,0,1
1882/5,,0,1
1882/6,,0,1
1882/7,,0,1
1882/8,,0,1
1882/9,,0,1
1882/10,12.2,8,1
1882/11,5.4,8,1
1882/12,1.2,8,1
1883/1,-1.1,8,1
1883/2,-2.6,8,1
1883/3,0.6,8,1
1883/4,6.8,8,1
1883/5,11.9,8,1
1883/6,17.3,8,1
1883/7,23.7,8,1
1883/8,23.6,8,1
1883/9,19.0,8,1
1883/10,13.5,8,1
1883/11,5.5,8,1
1883/12,1.5,8,1
1884/1,-1.5,8,1
1884/2,-0.9,8,1
1884/3,1.0,8,1
1884/4,7.5,8,1
1884/5,12.7,8,1
1884/6,17.6,8,1
1884/7,22.2,8,1
1884/8,22.5,8,1
1884/9,19.3,8,1
1884/10,11.0,8,1
1884/11,4.3,8,1
1884/12,-0.5,8,1
1885/1,-2.6,8,1
1885/2,-1.9,8,1
1885/3,1.2,8,1
1885/4,7.4,8,1
1885/5,12.3,8,1
1885/6,17.4,8,1
1885/7,20.9,8,1
1885/8,24.1,8,1
1885/9,20.4,8,1
1885/10,13.3,8,1
1885/11,7.5,8,1
1885/12,3.1,8,1
1886/1,-1.2,8,1
1886/2,-2.1,8,1
1886/3,2.1,8,1
1886/4,9.0,8,1
1886/5,13.7,8,1
1886/6,18.5,8,1
1886/7,23.0,8,1
1886/8,25.1,8,1
1886/9,21.8,8,1
1886/10,13.3,8,1
1886/11,6.8,8,1
1886/12,1.0,8,1
1887/1,-2.0,8,1
1887/2,-0.4,8,1
1887/3,2.9,8,1
1887/4,8.0,8,1
1887/5,12.1,8,1
1887/6,18.2,8,1
1887/7,22.1,8,1
1887/8,24.4,8,1
1887/9,17.7,8,1
1887/10,13.5,8,1
1887/11,8.1,8,1
1887/12,1.7,8,1
1888/1,-1.5,8,1
