Date,Avg_Temp,Quality,均質番号
1872/1,,0,1
1872/2,,0,1
1872/3,,0,1
1872/4,,0,1
1872/5,,0,1
1872/6,,0,1
1872/7,,0,1
1872/8,,0,1
1872/9,,0,1
1872/10,,0,1
1872/11,,0,1
1872/12,,0,1
1873/1,,0,1
1873/2,,0,1
1873/3,,0,1
1873/4,,0,1
1873/5,,0,1
1873/6,,0,1
1873/7,,0,1
1873/8,,0,1
1873/9,,0,1
1873/10,,0,1
1873/11,,0,1
1873/12,,0,1
1874/1,,0,1
1874/2,,0,1
1874/3,,0,1
1874/4,,0,1
1874/5,,0,1
1874/6,,0,1
1874/7,,0,1
1874/8,,0,1
1874/9,,0,1
1874/10,,0,1
1874/11,,0,1
1874/12,,0,1
1875/1,,0,1
1875/2,,0,1
1875/3,,0,1
1875/4,,0,1
1875/5,,0,1
1875/6,,0,1
1875/7,,0,1
1875/8,,0,1
1875/9,,0,1
1875/10,,0,1
1875/11,,0,1
1875/12,,0,1
1876/1,,0,1
1876/2,,0,1
1876/3,,0,1
1876/4,,0,1
1876/5,,0,1
1876/6,,0,1
1876/7,,0,1
1876/8,,0,1
1876/9,,0,1
1876/10,,0,1
1876/11,,0,1
1876/12,,0,1
1877/1,-1.5,8,1
1877/2,-2.2,8,1
1877/3,1.4,8,1
1877/4,6.6,8,1
1877/5,9.7,8,1
1877/6,16.7,8,1
1877/7,21.1,8,1
1877/8,22.6,8,1
1877/9,17.0,8,1
1877/10,11.3,8,1
1877/11,2.5,8,1
1877/12,-1.7,8,1
1878/1,-5.9,8,1
1878/2,-3.8,8,1
1878/3,-0.2,8,1
1878/4,5.3,8,1
1878/5,10.9,8,1
1878/6,16.5,8,1
1878/7,19.8,8,1
1878/8,20.3,8,1
1878/9,18.1,8,1
1878/10,8.7,8,1
1878/11,0.5,8,1
1878/12,-4.9,8,1
1879/1,-5.9,8,1
1879/2,-4.8,8,1
1879/3,-0.4,8,1
1879/4,3.5,8,1
1879/5,10.9,8,1
1879/6,16.2,8,1
1879/7,21.4,8,1
1879/8,21.6,8,1
1879/9,15.4,8,1
1879/10,7.4,8,1
1879/11,2.0,8,1
1879/12,0.2,8,1
1880/1,-7.1,8,1
1880/2,-4.1,8,1
1880/3,0.0,8,1
1880/4,5.3,8,1
1880/5,11.0,8,1
1880/6,14.7,8,1
1880/7,20.6,8,1
1880/8,23.5,8,1
1880/9,16.9,8,1
1880/10,9.1,8,1
1880/11,3.6,8,1
1880/12,-3.4,8,1
1881/1,-4.6,8,1
1881/2,-4.8,8,1
1881/3,-2.3,8,1
1881/4,3.2,8,1
1881/5,12.1,8,1
1881/6,16.8,8,1
1881/7,18.5,8,1
1881/8,21.4,8,1
1881/9,17.6,8,1
1881/10,8.4,8,1
1881/11,3.5,8,1
1881/12,-4.3,8,1
1882/1,-3.9,8,1
1882/2,-3.0,8,1
1882/3,-0.9,8,1
1882/4,6.3,8,1
1882/5,11.1,8,1
1882/6,15.2,8,1
1882/7,19.0,8,1
1882/8,21.5,8,1
1882/9,16.4,8,1
1882/10,9.8,8,1
1882/11,1.2,8,1
1882/12,-4.8,8,1
1883/1,-5.7,8,1
1883/2,-6.6,8,1
1883/3,-3.6,8,1
1883/4,3.3,8,1
1883/5,8.9,8,1
1883/6,14.3,8,1
1883/7,21.0,8,1
1883/8,21.7,8,1
1883/9,15.3,8,1
1883/10,10.3,8,1
1883/11,2.1,8,1
1883/12,-3.3,8,1
1884/1,-5.7,8,1
1884/2,-5.4,8,1
1884/3,-3.4,8,1
1884/4,3.4,8,1
1884/5,10.2,8,1
1884/6,14.0,8,1
1884/7,19.2,8,1
1884/8,18.4,8,1
1884/9,15.8,8,1
1884/10,7.8,8,1
1884/11,0.0,8,1
1884/12,-5.8,8,1
1885/1,-7.6,8,1
1885/2,-5.9,8,1
1885/3,-2.5,8,1
1885/4,3.2,8,1
1885/5,9.0,8,1
1885/6,14.4,8,1
1885/7,17.9,8,1
1885/8,20.6,8,1
1885/9,16.0,8,1
1885/10,10.3,8,1
1885/11,4.1,8,1
1885/12,-0.4,8,1
1886/1,-6.4,8,1
1886/2,-4.6,8,1
1886/3,-0.3,8,1
1886/4,7.2,8,1
1886/5,11.2,8,1
1886/6,16.3,8,1
1886/7,20.7,8,1
